"","residuals"
"1",-0.000422762219719423
"2",-0.0316840149393407
"3",-0.004551494341115
"4",0.038668876708491
"5",0.03552879648135
"6",0.032283252078033
"7",-0.0130945941022948
"8",0.0137504034389568
"9",-0.118438399391289
"10",-0.0859437321436035
"11",-0.0120978415498818
"12",-0.0353259473175393
"13",-0.0386843499245206
"14",-0.0759087322699348
"15",-0.0726142064740896
"16",-0.155611792050237
"17",-0.00602029705235831
"18",-0.127852855304479
"19",0.0337866052321573
"20",-0.0668969902715538
"21",-0.0339226456816481
"22",0.00189652979555476
"23",0.0236029475330385
"24",0.0210391897397666
"25",-0.0359536060308899
"26",0.0121015457602631
"27",0.0387509033476767
"28",0.0769383657830259
"29",0.0605236674124165
"30",0.0396429744099403
"31",0.0245015959321311
"32",-0.0511719748399249
"33",0.11211752863141
"34",0.0304454314161914
"35",-0.0409228957159976
"36",-0.15369876684241
"37",-0.0209156877048753
"38",0.018661824372039
"39",0.0436169372964441
"40",0.029505163119584
"41",-0.0837645469150183
"42",0.0189179891578354
"43",0.0368736361656551
"44",-0.00525968303310943
"45",-0.0263031682954321
"46",-0.129153771904951
"47",-0.126585671329356
"48",-0.00446460819178764
"49",-0.0879368480708013
"50",-0.125270789091581
"51",-0.0431242646274228
"52",-0.112457490947029
"53",-0.00700567235182834
"54",0.0112581097864991
"55",0.0826302613986767
"56",0.114641572936623
"57",0.0111047637079951
"58",0.121563600439855
"59",0.0252445451299601
"60",0.102396527181049
"61",0.0381575366812396
"62",0.0330356847499273
"63",-0.0809820819023756
"64",0.0955997960442145
"65",-0.0679850546457569
"66",-0.131163919552495
"67",0.109603613259456
"68",0.099797760727089
"69",-0.008543161219296
"70",0.0057169770916159
"71",0.131969873747399
"72",0.0984949277982781
"73",-0.074516311373672
"74",0.0835626713852202
"75",0.0195647429483642
"76",0.0115355838670709
"77",-0.018819707311979
"78",0.126166933365831
"79",0.152047173631254
"80",0.0541074445533965
"81",0.0318422225061227
"82",0.040003083346966
"83",-0.00172539699621752
"84",0.0706119687789978
"85",0.0185534076559549
"86",0.0350615009755431
"87",-0.0509112637501387
"88",-0.038826174877589
"89",0.178029238978606
"90",0.0732782897882724
"91",0.0374351914101713
"92",0.0491096322323992
"93",0.0598893203345589
"94",0.0282316263412502
"95",0.104892793553293
"96",0.0481876788508396
"97",0.159874168693175
"98",-0.111013239500427
"99",-0.0336702698873414
"100",-0.0793189772331522
"101",-0.0462217739002653
"102",-0.0534330439323626
"103",0.0473332692165485
"104",-0.0615989511357031
"105",0.0599640767271292
"106",-0.144641860121687
"107",0.0565685880821194
"108",-0.141908436917125
"109",-0.000345415495460581
"110",-0.000153617633139384
"111",0.0589433131189988
"112",0.034471203665154
"113",-0.0585216453219371
"114",-0.0898659188692332
"115",-0.0545161591367649
"116",-0.0311025422975251
"117",-0.0811858562009717
"118",0.047607567607758
"119",0.0806248076009951
"120",0.0990338565886508
"121",-0.132159864343247
"122",0.0195435435833352
"123",-0.0532312112523112
"124",-0.0673220445443519
"125",0.0322786770659021
"126",-0.0954655994161737
"127",0.0215862283001039
"128",0.0568978167352304
"129",0.0119092334789568
"130",0.00812614324049303
"131",-0.0474247970194549
"132",0.0559440398578892
"133",-0.0346400705150028
"134",0.027229771196897
"135",0.014493054586999
"136",-0.112659363847002
"137",-0.085373649031919
"138",0.00347293737134354
"139",-0.141865815293442
"140",0.0401255830741542
"141",-0.0363936404226571
"142",-0.0717723226668698
"143",0.0232828091746756
"144",-0.019168058148301
"145",-0.111177162266657
"146",-0.0473983517113959
"147",0.0169180575967628
"148",0.0285608460757049
"149",0.0376984082810606
"150",-0.037664364371643
"151",0.0737370865427413
"152",-0.165856064689644
"153",0.12969613056303
"154",-0.0634904035674277
"155",0.0374364138886481
"156",0.0834054325616384
"157",0.0596124783803349
"158",-0.027858131600344
"159",0.132589082713241
"160",0.148715173290523
"161",0.0937547202469899
"162",-0.17320349703322
"163",-0.00695045306183047
"164",-0.0816397100964143
"165",0.029393764259352
"166",-0.0533123394316399
"167",-0.0112478319535748
"168",-0.167333793726059
"169",0.0350149668367558
"170",0.0798682471466153
"171",0.0669936380364019
"172",-0.00985506133633091
